id,home_project,project_count,issue_count,avg_bot_ratio
z-yuxie,apache_apisix,1,1,0.0
zhoutaoo,apache_apisix,1,1,0.0
zsjinwei,apache_apisix,1,1,0.0
Chever-John,apache_apisix,1,18,0.2222222222222222
rztao,apache_apisix,1,1,0.0
feipengheart,apache_apisix,1,4,0.25
jialinks,apache_apisix,1,3,0.3333333333333333
Donghui0,apache_apisix,1,9,0.1111111111111111
caixiaomao,apache_apisix,1,1,0.0
dongjiang1989,apache_apisix,1,2,0.5
RocFang,apache_apisix,2,5,0.3333333333333333
SebastianLavertheDe,apache_apisix,1,1,0.0
AleenaSA,apache_apisix,1,1,0.0
ramessesii2,apache_apisix,1,1,0.0
satyaarthchhabra,apache_apisix,1,1,0.0
WeiXue9,apache_apisix,1,2,0.5
fmcodeing,apache_apisix,1,2,0.0
fuguanye,apache_apisix,1,1,0.0
ray-008,apache_apisix,1,1,0.0
RedemptionC,apache_apisix,1,4,0.25
ztgoto,apache_apisix,1,1,0.0
a1418692409,apache_apisix,1,1,0.0
illmy,apache_apisix,1,1,0.0
zhfish,apache_apisix,1,1,0.0
kuaiwenwu,apache_apisix,1,2,0.5
griffenliu,apache_apisix,1,6,0.0
ly-hash,apache_apisix,1,4,0.0
aikin-vip,apache_apisix,1,1,0.0
toker,apache_apisix,1,1,0.0
zcstack,apache_apisix,1,2,0.0
qiqizjl,apache_apisix,1,2,0.0
cielswift,apache_apisix,2,2,0.0
leslie-tsang,apache_apisix,1,217,0.24423963133640553
javalover123,apache_apisix,1,1,1.0
GhangZh,apache_apisix,1,12,0.6666666666666666
matthew188,apache_apisix,1,1,0.0
suninuni,apache_apisix,1,6,0.16666666666666666
besich,apache_apisix,1,4,0.25
liangliang4ward,apache_apisix,1,44,0.1590909090909091
Molio-tan,apache_apisix,1,4,0.0
13030509,apache_apisix,1,1,0.0
xiongyunhua-star,apache_apisix,1,1,0.0
XW512,apache_apisix,1,13,0.15384615384615385
zgLiuBing,apache_apisix,2,19,0.13333333333333333
amazing-gao,apache_apisix,1,2,0.5
dongqisilent,apache_apisix,1,2,0.0
j4ckzh0u,apache_apisix,1,1,0.0
leonyu879,apache_apisix,1,1,0.0
bzp2010,apache_apisix,1,79,0.3037974683544304
123libohan,apache_apisix,1,10,0.3
jinjianming,apache_apisix,1,17,0.23529411764705882
va3093,apache_apisix,1,1,1.0
fregie,apache_apisix,1,3,0.0
arabot777,apache_apisix,1,2,0.0
gxthrj,apache_apisix,1,82,0.13414634146341464
zhixiongdu027,apache_apisix,1,34,0.35294117647058826
BoazDr,apache_apisix,1,1,0.0
zenozeng,apache_apisix,1,1,0.0
tinpad,apache_apisix,1,3,0.0
macaty,apache_apisix,1,2,0.5
foreveryang321,apache_dubbo,2,7,0.0
superwjc,apache_apisix,1,1,1.0
hegw,apache_apisix,1,1,0.0
whioue,apache_apisix,1,19,0.2631578947368421
lifehacking,apache_apisix,1,2,0.0
Waylonwhynot,apache_apisix,1,1,0.0
dyrnq,apache_apisix,1,9,0.2222222222222222
xuyancheng24,apache_apisix,1,6,0.6666666666666666
651016236,apache_apisix,1,1,0.0
laokan,apache_apisix,1,4,0.25
lwtju,apache_apisix,1,1,1.0
shengjianzhou,apache_apisix,1,1,1.0
yocaning,apache_apisix,1,3,0.3333333333333333
rmGFW,apache_apisix,1,2,0.0
alexchan10241,apache_apisix,1,1,0.0
whiteketdev,apache_apisix,1,1,0.0
nic-6443,apache_apisix,1,33,0.21212121212121213
WillemJiang,apache_apisix,1,1,0.0
justinmclean,apache_apisix,2,8,0.0
ke4qqq,apache_apisix,1,2,0.0
nimohunter,apache_apisix,1,1,0.0
pahud,apache_apisix,1,4,0.25
zhangweidongyyl,apache_apisix,1,7,0.0
guxingke,apache_apisix,2,3,0.0
byte-kevin,apache_apisix,1,8,0.0
panghu-00,apache_apisix,1,1,0.0
szylmzs,apache_apisix,1,1,0.0
rapiz1,apache_apisix,1,4,0.0
TenYearsIn,apache_apisix,1,2,0.0
biubiue,apache_apisix,1,6,0.5
elricli,apache_apisix,1,2,0.5
zzong12,apache_apisix,1,1,0.0
abbluiz,apache_apisix,1,1,0.0
wilson-1024,apache_apisix,1,2,0.0
HelloBug0,apache_apisix,1,13,0.07692307692307693
wbaweto,apache_apisix,1,2,0.0
haowang-pony,apache_apisix,1,1,1.0
zenglongfeng,apache_apisix,1,1,0.0
SireHan,apache_apisix,1,1,0.0
Rehtt,apache_apisix,1,2,0.5
hozaifaaoud,apache_apisix,1,13,0.5384615384615384
chnliyong,apache_apisix,1,24,0.0
chanjet1213,apache_apisix,1,3,0.3333333333333333
rogerwangzy,apache_apisix,1,2,0.0
wadeLouis,apache_apisix,1,1,0.0
xxm404,apache_apisix,1,18,0.05555555555555555
sunnycjd,apache_apisix,1,2,0.0
zdzh,apache_apisix,1,1,1.0
highfly22,apache_apisix,1,2,0.0
johndudo,apache_apisix,1,2,1.0
lanbiaowan,apache_apisix,1,2,0.0
SomalianIvan,apache_apisix,1,2,0.0
windyrjc,apache_apisix,1,1,0.0
Xunzhuo,apache_apisix,2,3,0.5
charlesvhe,apache_apisix,1,1,1.0
fracarvic,apache_apisix,1,1,0.0
jaredhuang,apache_apisix,1,5,0.4
yunfhu,apache_apisix,1,3,0.0
Marco-Zheng,apache_apisix,1,17,0.23529411764705882
jaiminZhang,apache_apisix,1,1,0.0
chendingxing,apache_apisix,1,1,1.0
brianzhangrong,apache_apisix,1,2,0.0
feeops,apache_apisix,1,3,0.0
fish2018,apache_apisix,1,4,0.5
kehuili,apache_apisix,1,1,0.0
SSSherg,apache_apisix,1,1,1.0
aseaday,apache_apisix,1,1,0.0
juzn01,apache_apisix,1,4,0.25
GreenShadeZhang,apache_apisix,1,1,0.0
endersonmenezes,apache_apisix,1,2,0.5
fbartels,apache_apisix,1,3,0.3333333333333333
ada012,apache_apisix,1,9,0.3333333333333333
shreemaan-abhishek,apache_apisix,1,597,0.36348408710217756
HaoTien,apache_apisix,1,2,0.5
Jon-Gaara,apache_apisix,1,3,0.3333333333333333
eno16777736,apache_apisix,1,2,0.0
iyzrj,apache_apisix,1,1,1.0
loongzh,apache_apisix,1,1,1.0
mjsmagalhaes,apache_apisix,1,1,1.0
edwardzcy,apache_apisix,1,1,0.0
totemofwolf,apache_apisix,1,29,0.034482758620689655
lixuewang,apache_apisix,1,1,0.0
Boburmirzo,apache_apisix,1,7,0.5714285714285714
avinal,apache_apisix,1,6,0.6666666666666666
carsonzhan,apache_apisix,1,1,1.0
guitu168,apache_apisix,1,55,0.43636363636363634
lishaoshu1240,apache_apisix,1,6,0.5
pottekkat,apache_apisix,1,54,0.18518518518518517
zhaozhenghai,apache_apisix,1,1,0.0
bisakhmondal,apache_apisix,1,13,0.07692307692307693
rabbah,apache_apisix,1,1,0.0
zhukexingkong,apache_apisix,1,3,0.3333333333333333
daputaowang,apache_apisix,1,2,1.0
lilien1010,apache_apisix,1,29,0.034482758620689655
ramoncjs3,apache_apisix,1,1,1.0
timestamp,apache_apisix,3,11,0.2857142857142857
xerox-xeon,apache_apisix,1,8,0.5
icecode,apache_apisix,1,1,0.0
Yullin,apache_apisix,1,9,0.2222222222222222
zhanghaichang,apache_apisix,1,2,0.0
aoozoo,apache_apisix,1,1,0.0
OverRide,apache_dubbo,2,23,0.0
lingsamuel,apache_apisix,1,117,0.23076923076923078
giwms,apache_apisix,1,1,0.0
wangxiaochuang,apache_apisix,1,4,0.25
endison1986,apache_apisix,1,4,0.25
90yangkang,apache_apisix,1,3,0.0
yyangh1,apache_apisix,1,1,1.0
jinyuxiaoqiang,apache_apisix,1,3,0.6666666666666666
jade-sun-1111,apache_apisix,1,3,0.0
xiaokunliu,apache_apisix,2,5,0.3333333333333333
zlhgo,apache_apisix,1,8,0.125
ImCHT,apache_apisix,1,1,0.0
hanqingwu,apache_apisix,1,46,0.15217391304347827
kayx23,apache_apisix,1,222,0.23873873873873874
phpdave,apache_apisix,1,1,1.0
olddriver4,apache_apisix,1,2,0.5
spa,apache_apisix,1,1,0.0
Asakaigg,apache_apisix,1,1,0.0
Revolyssup,apache_apisix,1,266,0.3383458646616541
rrmistry,apache_apisix,1,1,0.0
wangchao732,apache_apisix,1,3,0.0
ilya-tishonok,apache_apisix,1,2,0.0
trungtien,apache_apisix,1,3,0.6666666666666666
